Vertices,Alpha(g),Number Of Roots,Number Of Max Points,Number Of Min Points,Polynomial,Degree Array,Max Deg
10,18,2,0,1,1 + 20*X + 169X^2 + 866X^3 + 3160X^4 + 8703X^5 + 18692X^6 + 31908X^7 + 43794X^8 + 48629X^9 + 43759X^10 + 31824X^11 + 18564X^12 + 8568X^13 + 3060X^14 + 816X^15 + 153X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 9 10 ],10
10,19,1,0,0,1 + 20*X + 171X^2 + 969X^3 + 3876X^4 + 11628X^5 + 27132X^6 + 50388X^7 + 75582X^8 + 92378X^9 + 92378X^10 + 75582X^11 + 50388X^12 + 27132X^13 + 11628X^14 + 3876X^15 + 969X^16 + 171X^17 + 19X^18 + X^19,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 19 ],19
10,15,5,2,3,1 + 20*X + 171X^2 + 832X^3 + 2604X^4 + 5662X^5 + 9034X^6 + 10944X^7 + 10236X^8 + 7423X^9 + 4150X^10 + 1760X^11 + 549X^12 + 119X^13 + 16X^14 + X^15,[ 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 4 4 6 ],6
10,16,1,2,3,1 + 20*X + 168X^2 + 809X^3 + 2582X^4 + 5966X^5 + 10487X^6 + 14367X^7 + 15521X^8 + 13270X^9 + 8953X^10 + 4721X^11 + 1910X^12 + 574X^13 + 121X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 3 4 4 8 ],8
10,17,1,2,2,1 + 20*X + 171X^2 + 856X^3 + 2912X^4 + 7333X^5 + 14201X^6 + 21661X^7 + 26365X^8 + 25763X^9 + 20218X^10 + 12673X^11 + 6267X^12 + 2393X^13 + 681X^14 + 136X^15 + 17X^16 + X^17,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 6 9 ],9
10,18,4,1,2,1 + 20*X + 166X^2 + 863X^3 + 3180X^4 + 8778X^5 + 18816X^6 + 32034X^7 + 43878X^8 + 48665X^9 + 43768X^10 + 31825X^11 + 18564X^12 + 8568X^13 + 3060X^14 + 816X^15 + 153X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 8 11 ],11
10,16,0,1,2,1 + 20*X + 171X^2 + 836X^3 + 2670X^4 + 6069X^5 + 10398X^6 + 13882X^7 + 14703X^8 + 12441X^9 + 8394X^10 + 4467X^11 + 1835X^12 + 561X^13 + 120X^14 + 16X^15 + X^16,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 4 5 5 5 ],5
10,18,3,2,3,1 + 20*X + 170X^2 + 884X^3 + 3237X^4 + 8902X^5 + 19026X^6 + 32286X^7 + 44088X^8 + 48785X^9 + 43813X^10 + 31835X^11 + 18565X^12 + 8568X^13 + 3060X^14 + 816X^15 + 153X^16 + 18X^17 + X^18,[ 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 7 12 ],12
10,11,3,2,2,1 + 20*X + 166X^2 + 761X^3 + 2138X^4 + 3840X^5 + 4449X^6 + 3268X^7 + 1456X^8 + 367X^9 + 50X^10 + 4X^11,[ 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 3 4 ],4
10,14,3,1,3,1 + 20*X + 167X^2 + 791X^3 + 2419X^4 + 5140X^5 + 7922X^6 + 9062X^7 + 7766X^8 + 4985X^9 + 2375X^10 + 821X^11 + 196X^12 + 29X^13 + 2X^14,[ 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 7 ],7
10,13,3,2,2,1 + 20*X + 170X^2 + 812X^3 + 2446X^4 + 4962X^5 + 7064X^6 + 7238X^7 + 5403X^8 + 2934X^9 + 1138X^10 + 302X^11 + 50X^12 + 4X^13,[ 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 5 ],5
